config_name,has_rag,triage_accuracy,f1_score,f2_score,cases_evaluated,success_count,total_failures,unknown_count,extraction_success_rate,avg_inference_time
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.215,0.13543396226415094,0.14778814935064935,200,200,16,16,0.92,1.0357501375675202
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_NoRAG,False,0.075,0.061525974025974026,0.0656408345752608,200,200,122,122,0.39,0.2992311441898346
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.2,0.26686537506209634,0.21548615363679663,200,200,98,98,0.51,0.555759516954422
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.185,0.27005730883969226,0.20972514840553583,200,200,101,101,0.495,0.5522130906581879
SmolLM2-135M_8bit_FineTuned_adapter_safe_triage_SmolLM2-135M_8bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.17,0.11214109926168991,0.12337454059472101,200,200,45,45,0.775,1.0332565116882324
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_NoRAG,False,0.465,0.49970332480818414,0.4587011159143461,200,200,5,5,0.975,0.8018232810497284
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,True,0.255,0.255,0.255,200,200,0,0,1.0,1.1214995300769806
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,True,0.3,0.3,0.3,200,200,0,0,1.0,1.1184552526473999
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.22,0.1725944170771757,0.16887727759914256,200,200,17,17,0.915,1.347408401966095
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_NoRAG,False,0.05,0.04760905912752698,0.047992314593807664,200,200,149,149,0.255,0.8127771425247192
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top1_structured_contextual_diverse,True,0.265,0.2896197927250559,0.2526008640345614,200,200,49,49,0.755,1.1536481070518494
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top2_structured_pure_diverse,True,0.295,0.32904219620162783,0.28563969020321583,200,200,47,47,0.765,1.1321521604061127
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_ultra_safe_RAG_top3_contextual_sentence_diverse,True,0.155,0.08986441133037992,0.10610750431722299,200,200,40,40,0.8,1.3117884600162506
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_NoRAG,False,0.37,0.4012216748768473,0.3568525972781292,200,200,4,4,0.98,0.7455849194526672
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,True,0.295,0.295,0.295,200,200,0,0,1.0,1.1092319142818452
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,True,0.285,0.285,0.285,200,200,0,0,1.0,1.0903431737422944
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,True,0.28,0.2908342019646862,0.2561898874464661,200,200,32,32,0.84,1.333455103635788
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_NoRAG,False,0.275,0.3152642276422764,0.26886801016702977,200,200,32,32,0.84,0.7561681163311005
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.25,0.25,0.25,200,200,0,0,1.0,1.0528913295269013
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.255,0.255,0.255,200,200,0,0,1.0,1.023516058921814
SmolLM2-360M_4bit_FineTuned_adapter_safe_triage_SmolLM2-360M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.195,0.18565648224607764,0.16821448124828908,200,200,47,47,0.765,1.3035891890525817
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_NoRAG,False,0.37,0.39763665768194073,0.35573940458306,200,200,1,1,0.995,0.6729861509799957
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top1_structured_contextual_diverse,True,0.19,0.1801936253303089,0.1670970252290699,200,200,73,73,0.635,0.8480278992652893
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top2_structured_pure_diverse,True,0.155,0.1310984201092167,0.12981541158738466,200,200,76,76,0.62,0.8254199290275573
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.17,0.09806677399034086,0.11789953310457334,200,200,49,49,0.755,1.376611466407776
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_NoRAG,False,0.455,0.455,0.455,200,200,0,0,1.0,0.6858215987682342
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,True,0.175,0.16882682004412228,0.15511729843190517,200,200,65,65,0.675,0.8721337306499481
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top2_structured_pure_diverse,True,0.175,0.16228458136342838,0.15113144597828979,200,200,63,63,0.685,0.8780212664604187
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,True,0.205,0.1658565449559821,0.1648922790264353,200,200,55,55,0.725,1.3734856641292572
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_NoRAG,False,0.0,0.0,0.0,200,200,199,199,0.0050000000000000044,0.8990749597549439
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top1_structured_contextual_diverse,True,0.28,0.2886587052168447,0.25599063962558505,200,200,26,26,0.87,1.0422885501384735
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top2_structured_pure_diverse,True,0.315,0.3316571428571429,0.292226148409894,200,200,19,19,0.905,1.0592502295970916
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_ultra_safe_RAG_top3_contextual_sentence_diverse,True,0.13,0.06837619896443427,0.09211759986963988,200,200,81,81,0.595,1.3869011521339416
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_NoRAG,False,0.365,0.365,0.365,200,200,0,0,1.0,0.6781401073932648
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.125,0.16450982878883955,0.13262319230830152,200,200,124,124,0.38,0.6289769148826599
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.105,0.13407627601037253,0.1096820205681863,200,200,124,124,0.38,0.6162200689315795
SmolLM2-360M_8bit_FineTuned_adapter_safe_triage_SmolLM2-360M_8bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.19,0.15879332477535302,0.1545161290322581,200,200,53,53,0.735,1.3539907026290894
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_NoRAG,False,0.16,0.06384768400113669,0.09481116584564858,200,200,26,26,0.87,0.9370322215557099
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top1_structured_contextual_diverse,True,0.17,0.06290584415584416,0.09568733952202252,200,200,6,6,0.97,1.06361572265625
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top2_structured_pure_diverse,True,0.18,0.05562231759656653,0.09501466275659823,200,200,2,2,0.99,1.0539392840862274
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_performance_safe_RAG_top3_contextual_sentence_diverse,True,0.175,0.05407725321888412,0.09237536656891496,200,200,3,3,0.985,1.1453592121601104
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_balanced_safe_NoRAG,False,0.16,0.0654570285825773,0.09653099941014237,200,200,33,33,0.835,0.9458738076686859
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_balanced_safe_RAG_top1_structured_contextual_diverse,True,0.185,0.06727977326623864,0.10324572529817212,200,200,9,9,0.955,1.0776246869564057
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_balanced_safe_RAG_top2_structured_pure_diverse,True,0.175,0.05478260869565218,0.09319526627218934,200,200,5,5,0.975,1.0513796246051788
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_balanced_safe_RAG_top3_contextual_sentence_diverse,True,0.18,0.06401189374175993,0.09861510384313499,200,200,1,1,0.995,1.139841057062149
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_high_capacity_safe_NoRAG,False,0.165,0.061875,0.099,200,200,44,44,0.78,0.9461112868785858
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_high_capacity_safe_RAG_top1_structured_contextual_diverse,True,0.195,0.09677252411197365,0.12146236817835518,200,200,13,13,0.935,1.0707345771789551
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_high_capacity_safe_RAG_top2_structured_pure_diverse,True,0.175,0.07526182737450343,0.10494166513957605,200,200,17,17,0.915,1.0687728834152221
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_high_capacity_safe_RAG_top3_contextual_sentence_diverse,True,0.18,0.05610389610389611,0.09557522123893807,200,200,5,5,0.975,1.156118059158325
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_ultra_safe_NoRAG,False,0.12,0.06813977389516958,0.08980566801619433,200,200,94,94,0.53,0.9846203243732452
Gemma-270M_4bit_FineTuned_adapter_safe_triage_Gemma-270M_4bit_ultra_safe_RAG_top1_structured_contextual_diverse,True,0.215,0.1258273299028016,0.14203252032520325,200,200,6,6,0.97,1.0675559544563293
