model_size,acc_mean,acc_std,acc_min,acc_max,f1_mean,f1_max,f2_mean,f2_max,time_mean,time_min,time_max,size_num,quant,acc_gap
135M_4bit,0.3540625,0.18532151116370704,0.08,0.68,0.3526904598528556,0.6483035967148116,0.33782093495598897,0.6668131185372564,0.8954419822990894,0.3692087423801422,1.0784895837306976,135,4,0.32593750000000005
135M_8bit,0.18,0.0883742043811428,0.01,0.355,0.2024281216069815,0.4443188925916432,0.17614612539344393,0.3849379834976246,0.6117385152727366,0.1146406066417694,1.0406212294101715,135,8,0.175
270M_4bit,0.1771875,0.022208763285394055,0.12,0.215,0.0743345676297965,0.1333261154481737,0.10493850726859978,0.1458964313768382,1.0577220693975686,0.93703222155571,1.156118059158325,270,4,0.0378125
270M_8bit,0.1853125,0.014545188207788861,0.165,0.22,0.08074303398776991,0.22,0.11128055226008593,0.22,1.0504708527028561,0.947834326028824,1.153870347738266,270,8,0.03468750000000001
360M_4bit,0.263125,0.08958934088383506,0.05,0.465,0.26633811174998984,0.4997033248081841,0.25062773392513815,0.4587011159143461,1.075895758792758,0.7455849194526672,1.347408401966095,360,4,0.20187500000000003
360M_8bit,0.21281250000000002,0.11607423989269396,0.0,0.455,0.2043771812555204,0.455,0.19367800798466142,0.455,0.949834399446845,0.6162200689315795,1.3869011521339416,360,8,0.2421875
